username,text,replies,retweets,quotes,likes,url,timestamp,Merged Hashtags.1,Merged Tweet Mentions
@FinMinIndia,"Day 1?? at the 4??th International Financial Architecture #IFA meeting commences with a session on Strengthening MDBs to address shared global challenges of the 21st century during #G20India Presidency in #Seoul. 

@g20org @RBI #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam",6,11,0,64,https://twitter.com/FinMinIndia/status/1704762590659023014,9/21/2023,#IFA #G20India #Seoul #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam             ,g20org RBI                                    
@FinMinIndia,"Delegates get a grand traditional welcome with mesmerising dance performance at the airport ahead of the 4??th Infrastructure Working Group #IWG meeting in #Khajuraho under #G20India Presidency.

@g20org @RBI #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam",4,16,0,91,https://twitter.com/FinMinIndia/status/1704763978008973423,9/21/2023,#IWG #Khajuraho #G20India #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam             ,g20org RBI                                    
@FinMinIndia,"On the sidelines of  4??th Infrastructure Working Group #IWG meeting in #Khajuraho under #G20India Presidency, delegates shared their experiences during the panel discussion on ‘Mobilisation of private and commercial finance by cities'.

The delegates further deliberated upon innovative instruments to enhance municipalities’ capacity.

 @g20org @RBI @IFC_org @SwissRe @gi_hub #cities #UrbanInfrastructure #finance #investment #SDG
#OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam",7,14,0,97,https://twitter.com/FinMinIndia/status/1704853058176651606,9/21/2023,#IWG #Khajuraho #G20India #cities #UrbanInfrastructure #finance #investment #SDG #OneEarthOneFamilyOneFuture #VasudhaivaKutumbakam        ,g20org RBI IFC_org SwissRe gi_hub                                 
@SSOIndia,"Competition alert?? 
Hurry up and win!! 
Theme for September: Identity theft and Digital footprints in cyberspace
To participate click this link - staysafeonline.in/competitio…
#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity",0,1,0,1,https://twitter.com/SSOIndia/status/1704812767298076756,9/21/2023,#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity        ,                                     
@MeitYCeG,"Competition alert??
Hurry up and win!!
Theme for September: Identity theft and Digital footprints in cyberspace
To participate click this link - staysafeonline.in/competitio…
#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity",0,1,0,1,https://twitter.com/MeitYCeG/status/1705078239306387690,9/22/2023,#staysafeonline #cybersecurity #g20india #g20dewg #g20org #g20summit #besafe #staysafe #ssoindia #meity        ,                                     
@g20org,"The 4th International Financial Architecture Working Group Meeting under #G20India began in #Seoul.

The #G20 delegates discussed Strengthening MDBs to Address Shared Global Challenges of the 21st Century.

#IFAWG",6,5,1,29,https://twitter.com/g20org/status/1704880005749326321,9/21/2023,#G20India #Seoul #G20 #IFAWG              ,                                     
@bandisanjay_bjp,"This is the true essence of Vasudhaiva Kutumbam that Hon’ble PM Shri @narendramodi ji constantly strives for - showing unity of the world by offering tributes to Mahatma Gandhi ji at RajGhat.
#G20India",14,112,2,688,https://twitter.com/bandisanjay_bjp/status/1700786182832230873,9/10/2023,#G20India                 ,narendramodi                                     
@ToofaniBaba1,"Anderwan Army Camp of Wussan Battalion organised an awareness session regarding ongoing G20 Summit.
#G20India
#G20Summit
#KashmirDiaries",1,176,1,192,https://twitter.com/ToofaniBaba1/status/1661282542517878787,5/24/2023,#G20India #G20Summit #KashmirDiaries               ,                                     
@dhiraj1089,"This issue still not resolved although it's  been more than 3 months.
How much time it would take?
#IndianRailways
#easternrailway
#railwayministry
#G20India
#bhadhoi
#santravidasnagar
#Varanasi",0,2,0,1,https://twitter.com/dhiraj1089/status/1680511691631517697,7/16/2023,#IndianRailways #easternrailway #railwayministry #G20India #bhadhoi #santravidasnagar #Varanasi           ,                                     
@BJP4India,"The global leaders appreciate PM Modi for his remarkable leadership at the G20!

#G20India",173,1777,28,5964,https://twitter.com/BJP4India/status/1701454506830201270,9/12/2023,#G20India                 ,                                     
@amitabhk87,"The visiting #G20 Heads of Delegation, accompanied by PM @narendramodi gathered at Rajghat today to pay a solemn tribute to Bapu. Mahatma Gandhi’s ideals continue to inspire leaders from across the world! #G20India",6,38,5,342,https://twitter.com/amitabhk87/status/1700752105269793172,9/10/2023,#G20 #G20India                ,narendramodi                                     
@g20org,"Rajghat, a place where silence speaks volumes and unity blossoms at its core!

The #G20 Heads of Delegations gathered at Rajghat today to pay a solemn tribute to Bapu. 

The ideals of Mahatma Gandhi harmonize us as a global community.

#G20India",164,1733,55,11118,https://twitter.com/g20org/status/1700734207616823491,9/10/2023,#G20 #G20India                ,                                     
@g20org,"Welcome to India!

President @EmmanuelMacron of France warmly received at the airport by MoS @DoC_GoI @AnupriyaSPatel as he arrives for the #G20 Summit in New Delhi.

#G20India",236,2293,61,25415,https://twitter.com/g20org/status/1700434743563784410,9/9/2023,#G20 #G20India                ,EmmanuelMacron DoC_GoI AnupriyaSPatel                                   
@MinOfCultureGoI,"A divine sanctuary in the midst of a river.

P.C - rgphotographypandharpur (Instagram)

To feature on our page, tag us in your picture showcasing Indian culture and use the hashtag #OurCultureOurPride in your captions.

#CultureUnitesAll #G20India #AmritMahotsav",0,10,0,22,https://twitter.com/MinOfCultureGoI/status/1704732404345389559,9/21/2023,#OurCultureOurPride #CultureUnitesAll #G20India #AmritMahotsav              ,                                     
@g20org,"Tune in to watch the Press Conference, LIVE from the 4th Global Partnership for Financial Inclusion Meeting in #Mumbai.

Click here ? vid.puffyan.us/live/gXopU4FKMj8…
#GPFI #G20India",2,20,0,50,https://twitter.com/g20org/status/1702997998865891608,9/16/2023,#Mumbai #GPFI #G20India               ,                                     
